date,fips,county,tests,cases,recovered,deaths
2021-07-11,19153,Polk,300424,58656,57783,643
2021-07-11,19113,Linn,127938,21388,20899,342
2021-07-11,19163,Scott,95493,20349,20059,250
2021-07-11,19013,Black Hawk,76033,16489,15801,316
2021-07-11,19193,Woodbury,64234,15248,14996,230
2021-07-11,19103,Johnson,88159,14678,14532,85
2021-07-11,19061,Dubuque,61353,13570,13301,213
2021-07-11,19049,Dallas,58696,11383,11249,99
2021-07-11,19155,Pottawattamie,50740,11261,11050,177
2021-07-11,19169,Story,59748,10777,10693,48
2021-07-11,19181,Warren,30403,5899,5782,92
2021-07-11,19045,Clinton,25271,5626,5534,93
2021-07-11,19033,Cerro Gordo,27311,5597,5464,97
2021-07-11,19187,Webster,22551,5264,5052,94
2021-07-11,19167,Sioux,17154,5186,5103,74
2021-07-11,19127,Marshall,23137,4908,4795,76
2021-07-11,19139,Muscatine,23411,4902,4782,106
2021-07-11,19057,Des Moines,23045,4726,4617,73
2021-07-11,19099,Jasper,20090,4505,4421,73
2021-07-11,19179,Wapello,20005,4354,4215,122
2021-07-11,19021,Buena Vista,15673,4293,4244,40
2021-07-11,19149,Plymouth,14074,4045,3953,82
2021-07-11,19111,Lee,17341,3873,3776,58
2021-07-11,19125,Marion,17439,3662,3584,77
2021-07-11,19105,Jones,10831,3010,2951,57
2021-07-11,19087,Henry,11882,3004,2953,37
2021-07-11,19017,Bremer,13216,2912,2824,62
2021-07-11,19027,Carroll,12042,2856,2802,52
2021-07-11,19047,Crawford,9343,2697,2649,41
2021-07-11,19015,Boone,14901,2692,2653,34
2021-07-11,19011,Benton,13924,2620,2531,55
2021-07-11,19183,Washington,12876,2594,2543,51
2021-07-11,19059,Dickinson,11143,2505,2459,45
2021-07-11,19123,Mahaska,11293,2309,2236,51
2021-07-11,19097,Jackson,9931,2256,2218,42
2021-07-11,19041,Clay,9031,2173,2143,27
2021-07-11,19109,Kossuth,8535,2172,2110,66
2021-07-11,19171,Tama,9037,2130,2050,72
2021-07-11,19055,Delaware,8700,2112,2063,43
2021-07-11,19141,O'Brien,7050,2006,1950,61
2021-07-11,19191,Winneshiek,11139,2001,1935,35
2021-07-11,19019,Buchanan,10233,1951,1904,34
2021-07-11,19145,Page,6696,1950,1929,22
2021-07-11,19031,Cedar,9892,1925,1898,23
2021-07-11,19083,Hardin,9212,1894,1840,44
2021-07-11,19065,Fayette,10044,1879,1822,43
2021-07-11,19197,Wright,8295,1868,1819,40
2021-07-11,19079,Hamilton,8164,1836,1779,51
2021-07-11,19085,Harrison,6850,1812,1737,73
2021-07-11,19043,Clayton,7807,1719,1665,57
2021-07-11,19023,Butler,7577,1670,1622,35
2021-07-11,19121,Madison,8536,1668,1642,19
2021-07-11,19067,Floyd,8440,1646,1597,42
2021-07-11,19129,Mills,8057,1637,1603,24
2021-07-11,19035,Cherokee,6390,1610,1563,38
2021-07-11,19119,Lyon,5100,1607,1558,41
2021-07-11,19157,Poweshiek,9549,1586,1554,36
2021-07-11,19005,Allamakee,6716,1548,1487,52
2021-07-11,19081,Hancock,6598,1517,1467,34
2021-07-11,19095,Iowa,8751,1479,1456,24
2021-07-11,19189,Winnebago,6853,1453,1415,31
2021-07-11,19025,Calhoun,5679,1409,1377,13
2021-07-11,19029,Cass,6773,1391,1336,55
2021-07-11,19075,Grundy,6186,1387,1349,33
2021-07-11,19063,Emmet,5559,1367,1321,41
2021-07-11,19101,Jefferson,8589,1340,1308,35
2021-07-11,19161,Sac,5736,1323,1306,20
2021-07-11,19165,Shelby,5863,1308,1269,37
2021-07-11,19115,Louisa,5832,1302,1252,49
2021-07-11,19175,Union,7062,1295,1260,35
2021-07-11,19007,Appanoose,6513,1275,1227,49
2021-07-11,19131,Mitchell,5824,1271,1231,43
2021-07-11,19069,Franklin,5950,1259,1218,23
2021-07-11,19037,Chickasaw,5901,1253,1235,17
2021-07-11,19077,Guthrie,6258,1243,1207,32
2021-07-11,19091,Humboldt,5069,1223,1182,26
2021-07-11,19147,Palo Alto,4796,1145,1117,24
2021-07-11,19137,Montgomery,4559,1054,1014,38
2021-07-11,19089,Howard,4967,1052,1028,22
2021-07-11,19039,Clarke,5291,1021,990,24
2021-07-11,19107,Keokuk,4639,994,948,32
2021-07-11,19135,Monroe,3841,980,943,32
2021-07-11,19093,Ida,3593,923,881,35
2021-07-11,19001,Adair,3883,884,849,32
2021-07-11,19151,Pocahontas,3673,865,844,22
2021-07-11,19051,Davis,3824,860,833,25
2021-07-11,19133,Monona,4027,852,817,31
2021-07-11,19143,Osceola,2710,790,776,17
2021-07-11,19073,Greene,4435,789,775,11
2021-07-11,19117,Lucas,4185,771,750,23
2021-07-11,19195,Worth,4199,756,745,8
2021-07-11,19173,Taylor,2707,669,659,12
2021-07-11,19071,Fremont,2876,647,637,10
2021-07-11,19053,Decatur,3838,647,628,9
2021-07-11,19177,Van Buren,2996,567,550,18
2021-07-11,19159,Ringgold,2551,564,536,24
2021-07-11,19185,Wayne,2743,560,528,23
2021-07-11,19009,Audubon,2911,529,513,11
2021-07-11,19003,Adams,1706,342,333,4
2021-07-11,NA,Pending Investigation,3345,6,4,0
