date,fips,county,tests,cases,recovered,deaths
2021-06-10,19153,Polk,295017,58149,57044,636
2021-06-10,19113,Linn,125535,21152,20527,338
2021-06-10,19163,Scott,93588,20275,19825,244
2021-06-10,19013,Black Hawk,74421,16020,15518,310
2021-06-10,19193,Woodbury,63341,15219,14925,229
2021-06-10,19103,Johnson,86050,14597,14390,85
2021-06-10,19061,Dubuque,60439,13484,13160,211
2021-06-10,19049,Dallas,57672,11274,11085,99
2021-06-10,19155,Pottawattamie,50109,11207,10968,173
2021-06-10,19169,Story,58973,10706,10562,48
2021-06-10,19181,Warren,29927,5831,5693,90
2021-06-10,19045,Clinton,24796,5611,5470,93
2021-06-10,19033,Cerro Gordo,26741,5518,5312,91
2021-06-10,19167,Sioux,16961,5167,5074,74
2021-06-10,19187,Webster,22210,5144,5034,94
2021-06-10,19139,Muscatine,22996,4873,4711,106
2021-06-10,19127,Marshall,22787,4862,4760,76
2021-06-10,19057,Des Moines,22622,4666,4513,69
2021-06-10,19179,Wapello,19658,4332,4176,122
2021-06-10,19021,Buena Vista,15432,4261,4207,40
2021-06-10,19099,Jasper,19501,4205,4119,72
2021-06-10,19149,Plymouth,13895,4028,3931,81
2021-06-10,19111,Lee,16927,3812,3715,56
2021-06-10,19125,Marion,17137,3657,3567,76
2021-06-10,19105,Jones,10688,3008,2934,57
2021-06-10,19087,Henry,11644,2940,2883,37
2021-06-10,19017,Bremer,12996,2877,2783,60
2021-06-10,19027,Carroll,11932,2868,2812,52
2021-06-10,19015,Boone,14722,2682,2618,34
2021-06-10,19047,Crawford,9241,2678,2626,40
2021-06-10,19011,Benton,13624,2586,2512,55
2021-06-10,19183,Washington,12626,2565,2498,51
2021-06-10,19059,Dickinson,11036,2493,2443,44
2021-06-10,19123,Mahaska,11150,2321,2247,51
2021-06-10,19097,Jackson,9779,2250,2180,42
2021-06-10,19041,Clay,8913,2165,2130,27
2021-06-10,19109,Kossuth,8367,2161,2099,65
2021-06-10,19171,Tama,8910,2114,2023,71
2021-06-10,19055,Delaware,8557,2109,2052,42
2021-06-10,19141,O'Brien,6981,1997,1936,61
2021-06-10,19191,Winneshiek,10927,1975,1935,35
2021-06-10,19145,Page,6649,1945,1907,22
2021-06-10,19019,Buchanan,10061,1928,1877,33
2021-06-10,19031,Cedar,9722,1917,1878,23
2021-06-10,19083,Hardin,9045,1872,1814,44
2021-06-10,19065,Fayette,9841,1861,1814,43
2021-06-10,19197,Wright,8220,1858,1809,40
2021-06-10,19079,Hamilton,8018,1814,1752,51
2021-06-10,19085,Harrison,6778,1800,1723,73
2021-06-10,19043,Clayton,7626,1710,1648,57
2021-06-10,19023,Butler,7457,1659,1612,35
2021-06-10,19121,Madison,8354,1644,1608,19
2021-06-10,19129,Mills,7963,1629,1602,24
2021-06-10,19067,Floyd,8236,1628,1569,42
2021-06-10,19035,Cherokee,6286,1593,1547,38
2021-06-10,19119,Lyon,5010,1588,1541,41
2021-06-10,19157,Poweshiek,9389,1569,1520,36
2021-06-10,19005,Allamakee,6563,1525,1463,52
2021-06-10,19081,Hancock,6484,1498,1444,34
2021-06-10,19095,Iowa,8633,1497,1468,24
2021-06-10,19189,Winnebago,6719,1442,1393,31
2021-06-10,19029,Cass,6716,1392,1341,54
2021-06-10,19025,Calhoun,5603,1389,1373,13
2021-06-10,19075,Grundy,6083,1369,1333,33
2021-06-10,19063,Emmet,5495,1358,1297,41
2021-06-10,19101,Jefferson,8329,1334,1298,35
2021-06-10,19165,Shelby,5800,1314,1278,37
2021-06-10,19161,Sac,5650,1308,1288,20
2021-06-10,19175,Union,6932,1298,1252,35
2021-06-10,19115,Louisa,5744,1296,1235,49
2021-06-10,19007,Appanoose,6422,1290,1230,49
2021-06-10,19131,Mitchell,5717,1265,1232,42
2021-06-10,19037,Chickasaw,5798,1244,1229,16
2021-06-10,19069,Franklin,5788,1232,1174,23
2021-06-10,19077,Guthrie,6117,1229,1192,32
2021-06-10,19091,Humboldt,4949,1194,1166,26
2021-06-10,19147,Palo Alto,4732,1135,1103,23
2021-06-10,19089,Howard,4855,1050,1024,22
2021-06-10,19137,Montgomery,4502,1036,997,38
2021-06-10,19039,Clarke,5199,1008,979,24
2021-06-10,19107,Keokuk,4523,963,929,32
2021-06-10,19135,Monroe,3748,960,924,29
2021-06-10,NA,Pending Investigation,4329,956,941,0
2021-06-10,19093,Ida,3531,914,865,35
2021-06-10,19001,Adair,3820,873,836,32
2021-06-10,19151,Pocahontas,3619,858,837,22
2021-06-10,19051,Davis,3744,851,805,25
2021-06-10,19133,Monona,3967,829,800,31
2021-06-10,19143,Osceola,2683,790,773,16
2021-06-10,19073,Greene,4367,780,766,11
2021-06-10,19117,Lucas,4116,779,753,23
2021-06-10,19195,Worth,4104,757,742,8
2021-06-10,19173,Taylor,2669,666,650,12
2021-06-10,19071,Fremont,2831,626,617,9
2021-06-10,19053,Decatur,3755,613,605,9
2021-06-10,19177,Van Buren,2928,563,541,18
2021-06-10,19159,Ringgold,2520,561,539,24
2021-06-10,19185,Wayne,2670,543,516,23
2021-06-10,19009,Audubon,2871,526,498,10
2021-06-10,19003,Adams,1684,344,337,4
