date,fips,county,tests,cases,recovered,deaths
2020-12-08,19153,Polk,203360,36061,25189,357
2020-12-08,19113,Linn,88950,15109,9903,173
2020-12-08,19163,Scott,64478,12281,7472,100
2020-12-08,19013,Black Hawk,53686,11502,8388,156
2020-12-08,19193,Woodbury,46377,11070,8749,142
2020-12-08,19103,Johnson,60423,10071,7462,41
2020-12-08,19061,Dubuque,45242,9699,7280,101
2020-12-08,19169,Story,42815,7176,5096,26
2020-12-08,19155,Pottawattamie,36360,7059,4450,82
2020-12-08,19049,Dallas,39819,6834,4774,60
2020-12-08,19167,Sioux,12286,3926,3055,29
2020-12-08,19187,Webster,17415,3877,2633,42
2020-12-08,19033,Cerro Gordo,18349,3859,2295,52
2020-12-08,19127,Marshall,15858,3672,2767,51
2020-12-08,19045,Clinton,16357,3583,2270,48
2020-12-08,19021,Buena Vista,12070,3236,2595,14
2020-12-08,19139,Muscatine,16084,3192,2014,74
2020-12-08,19057,Des Moines,16041,3115,2152,23
2020-12-08,19181,Warren,20476,3103,1898,17
2020-12-08,19149,Plymouth,10465,3002,2195,45
2020-12-08,19179,Wapello,12445,2754,1931,72
2020-12-08,19105,Jones,7785,2416,1612,19
2020-12-08,19099,Jasper,13055,2395,1644,47
2020-12-08,19111,Lee,11751,2374,1473,21
2020-12-08,19125,Marion,11252,2202,1486,25
2020-12-08,19027,Carroll,8956,2089,1552,26
2020-12-08,19017,Bremer,8883,2068,1319,14
2020-12-08,19087,Henry,8194,2018,1437,8
2020-12-08,19047,Crawford,7018,1865,1540,16
2020-12-08,19011,Benton,9666,1806,1163,25
2020-12-08,19171,Tama,6491,1591,1216,42
2020-12-08,19097,Jackson,6709,1555,1141,17
2020-12-08,19183,Washington,8731,1551,942,16
2020-12-08,19015,Boone,9859,1532,1004,12
2020-12-08,19055,Delaware,6167,1504,1112,22
2020-12-08,19059,Dickinson,8032,1504,1020,12
2020-12-08,19141,O'Brien,5103,1404,1000,32
2020-12-08,19123,Mahaska,7619,1383,964,29
2020-12-08,19197,Wright,6373,1358,956,8
2020-12-08,19041,Clay,6278,1318,800,7
2020-12-08,19019,Buchanan,7150,1271,790,10
2020-12-08,19083,Hardin,6316,1263,767,12
2020-12-08,19109,Kossuth,5794,1246,670,9
2020-12-08,19079,Hamilton,5698,1235,655,15
2020-12-08,19145,Page,4722,1235,915,5
2020-12-08,19043,Clayton,5231,1210,766,11
2020-12-08,19031,Cedar,6773,1190,741,15
2020-12-08,19085,Harrison,4863,1171,838,33
2020-12-08,19067,Floyd,5923,1160,652,24
2020-12-08,19065,Fayette,6782,1140,688,12
2020-12-08,19129,Mills,6132,1134,733,10
2020-12-08,19191,Winneshiek,7188,1118,671,14
2020-12-08,19025,Calhoun,4338,1113,730,7
2020-12-08,19023,Butler,5228,1105,682,12
2020-12-08,19119,Lyon,3456,1097,724,10
2020-12-08,19157,Poweshiek,6389,1063,751,14
2020-12-08,19095,Iowa,6183,1031,665,14
2020-12-08,19035,Cherokee,4436,1015,582,4
2020-12-08,19189,Winnebago,4684,989,661,25
2020-12-08,19081,Hancock,4429,960,587,8
2020-12-08,19005,Allamakee,4491,940,538,13
2020-12-08,19161,Sac,4174,937,590,9
2020-12-08,19037,Chickasaw,4067,936,746,6
2020-12-08,19115,Louisa,4202,924,662,22
2020-12-08,19075,Grundy,4311,906,556,14
2020-12-08,19175,Union,5176,899,436,8
2020-12-08,19029,Cass,4696,876,593,26
2020-12-08,19131,Mitchell,4247,866,497,11
2020-12-08,19007,Appanoose,4436,849,511,14
2020-12-08,19091,Humboldt,3665,837,515,6
2020-12-08,19165,Shelby,3923,826,563,15
2020-12-08,19077,Guthrie,4281,811,543,15
2020-12-08,19063,Emmet,3658,804,543,26
2020-12-08,19101,Jefferson,5516,797,428,6
2020-12-08,19069,Franklin,3840,779,505,21
2020-12-08,19121,Madison,5387,779,499,5
2020-12-08,NA,Pending Investigation,8772,734,156,0
2020-12-08,19147,Palo Alto,3502,703,440,5
2020-12-08,19107,Keokuk,3053,685,373,10
2020-12-08,19151,Pocahontas,2794,616,383,4
2020-12-08,19089,Howard,3221,598,347,9
2020-12-08,19093,Ida,2408,581,345,16
2020-12-08,19143,Osceola,1891,565,395,2
2020-12-08,19137,Montgomery,3130,556,301,11
2020-12-08,19073,Greene,3226,555,352,2
2020-12-08,19039,Clarke,3382,528,403,4
2020-12-08,19051,Davis,2322,509,316,11
2020-12-08,19001,Adair,2724,485,298,11
2020-12-08,19173,Taylor,1981,483,340,3
2020-12-08,19133,Monona,2858,476,319,9
2020-12-08,19135,Monroe,2279,475,327,13
2020-12-08,19177,Van Buren,2039,408,267,5
2020-12-08,19195,Worth,2707,405,233,1
2020-12-08,19071,Fremont,2026,404,280,3
2020-12-08,19117,Lucas,2648,370,263,6
2020-12-08,19053,Decatur,2485,358,249,1
2020-12-08,19185,Wayne,1680,320,241,7
2020-12-08,19009,Audubon,1875,315,235,3
2020-12-08,19159,Ringgold,1787,286,128,2
2020-12-08,19003,Adams,1161,196,122,2
