date,fips,county,tests,cases,recovered,deaths
2020-06-28,19153,Polk,47923,5930,2894,174
2020-06-28,19193,Woodbury,15738,3136,2658,44
2020-06-28,19013,Black Hawk,14460,2052,1202,57
2020-06-28,19021,Buena Vista,6909,1691,626,11
2020-06-28,19113,Linn,18260,1177,899,82
2020-06-28,19049,Dallas,9414,1170,718,29
2020-06-28,19103,Johnson,13801,1028,540,8
2020-06-28,19127,Marshall,5552,1009,616,18
2020-06-28,19179,Wapello,4061,696,609,29
2020-06-28,19155,Pottawattamie,8988,673,502,11
2020-06-28,19169,Story,7348,667,172,3
2020-06-28,19047,Crawford,2819,662,394,2
2020-06-28,19139,Muscatine,4252,605,516,44
2020-06-28,19163,Scott,11948,594,404,10
2020-06-28,19061,Dubuque,9967,501,251,22
2020-06-28,19167,Sioux,2778,445,213,0
2020-06-28,19171,Tama,2165,438,353,29
2020-06-28,19197,Wright,2548,363,168,0
2020-06-28,19115,Louisa,1401,358,289,13
2020-06-28,19099,Jasper,2985,313,214,17
2020-06-28,19149,Plymouth,2571,289,201,4
2020-06-28,19181,Warren,4335,238,195,2
2020-06-28,19059,Dickinson,2145,236,106,2
2020-06-28,19183,Washington,2173,221,188,9
2020-06-28,19079,Hamilton,1859,182,124,0
2020-06-28,19187,Webster,3950,145,97,1
2020-06-28,19015,Boone,2555,133,83,1
2020-06-28,19005,Allamakee,1232,123,90,4
2020-06-28,19039,Clarke,970,123,83,2
2020-06-28,19041,Clay,1503,119,75,0
2020-06-28,19123,Mahaska,1298,117,90,16
2020-06-28,19157,Poweshiek,1123,104,85,8
2020-06-28,19165,Shelby,988,102,64,0
2020-06-28,19033,Cerro Gordo,4123,88,32,1
2020-06-28,19045,Clinton,3063,87,67,1
2020-06-28,19017,Bremer,2125,86,75,6
2020-06-28,19057,Des Moines,2620,84,62,2
2020-06-28,19087,Henry,1582,81,71,3
2020-06-28,19141,O'Brien,1042,80,43,1
2020-06-28,19027,Carroll,1745,79,56,1
2020-06-28,19173,Taylor,622,77,24,0
2020-06-28,19063,Emmet,842,75,34,0
2020-06-28,19031,Cedar,1514,71,50,1
2020-06-28,19069,Franklin,1140,71,35,0
2020-06-28,19035,Cherokee,997,71,56,0
2020-06-28,19151,Pocahontas,759,69,11,1
2020-06-28,19133,Monona,729,68,33,0
2020-06-28,19083,Hardin,1684,65,26,0
2020-06-28,19077,Guthrie,941,64,50,4
2020-06-28,19067,Floyd,1699,63,27,2
2020-06-28,19161,Sac,1183,60,37,0
2020-06-28,19125,Marion,1795,58,37,0
2020-06-28,19011,Benton,1843,55,42,1
2020-06-28,19143,Osceola,355,51,45,0
2020-06-28,19105,Jones,1323,51,43,0
2020-06-28,19101,Jefferson,1166,50,41,0
2020-06-28,19135,Monroe,506,50,43,6
2020-06-28,19085,Harrison,986,49,41,0
2020-06-28,19095,Iowa,1606,47,34,0
2020-06-28,19091,Humboldt,813,46,35,1
2020-06-28,19111,Lee,1780,46,33,1
2020-06-28,19081,Hancock,1079,45,31,0
2020-06-28,19019,Buchanan,1776,43,31,1
2020-06-28,19023,Butler,1398,42,30,2
2020-06-28,19025,Calhoun,984,41,19,0
2020-06-28,19055,Delaware,1184,41,31,1
2020-06-28,19119,Lyon,580,39,33,0
2020-06-28,19043,Clayton,1303,38,31,3
2020-06-28,19051,Davis,553,37,25,1
2020-06-28,19121,Madison,1173,36,30,2
2020-06-28,19129,Mills,1889,32,25,0
2020-06-28,19109,Kossuth,1122,32,14,0
2020-06-28,19065,Fayette,1670,31,28,0
2020-06-28,19075,Grundy,1046,29,17,0
2020-06-28,19117,Lucas,453,29,18,3
2020-06-28,19073,Greene,786,28,19,0
2020-06-28,19147,Palo Alto,782,28,19,0
2020-06-28,19175,Union,1119,26,7,0
2020-06-28,19191,Winneshiek,1294,25,24,0
2020-06-28,19037,Chickasaw,1048,24,18,0
2020-06-28,19097,Jackson,1128,23,13,0
2020-06-28,19093,Ida,627,21,18,0
2020-06-28,19131,Mitchell,918,20,8,0
2020-06-28,19145,Page,1147,20,17,0
2020-06-28,19007,Appanoose,798,20,17,3
2020-06-28,19089,Howard,643,20,10,0
2020-06-28,19189,Winnebago,754,20,12,0
2020-06-28,19107,Keokuk,739,19,14,1
2020-06-28,19177,Van Buren,386,18,12,0
2020-06-28,19009,Audubon,452,17,11,1
2020-06-28,19029,Cass,779,17,16,0
2020-06-28,19001,Adair,422,14,11,0
2020-06-28,19159,Ringgold,438,13,10,0
2020-06-28,19195,Worth,534,11,8,0
2020-06-28,19137,Montgomery,744,10,8,2
2020-06-28,19053,Decatur,417,9,8,0
2020-06-28,19003,Adams,246,8,5,0
2020-06-28,19185,Wayne,296,8,3,0
2020-06-28,19071,Fremont,366,7,2,0
2020-06-28,NA,Pending Investigation,2239,7,1,0
