date,fips,county,tests,cases,recovered,deaths
2020-10-03,19153,Polk,135943,16421,13879,270
2020-10-03,19193,Woodbury,32701,5878,4313,69
2020-10-03,19103,Johnson,40749,5251,4517,28
2020-10-03,19013,Black Hawk,36233,4624,3962,92
2020-10-03,19113,Linn,52859,4335,3254,115
2020-10-03,19061,Dubuque,31112,3643,2205,44
2020-10-03,19169,Story,30604,3546,2899,17
2020-10-03,19163,Scott,38905,3272,2385,29
2020-10-03,19049,Dallas,26549,2918,2449,38
2020-10-03,19155,Pottawattamie,22212,2314,1804,41
2020-10-03,19021,Buena Vista,9514,2042,1850,12
2020-10-03,19167,Sioux,8206,1848,994,4
2020-10-03,19127,Marshall,11575,1826,1684,35
2020-10-03,19187,Webster,12406,1388,1143,14
2020-10-03,19179,Wapello,8541,1372,1256,57
2020-10-03,19149,Plymouth,6977,1251,845,22
2020-10-03,19045,Clinton,10152,1181,917,22
2020-10-03,19139,Muscatine,9921,1156,964,56
2020-10-03,19047,Crawford,5387,1147,866,6
2020-10-03,19033,Cerro Gordo,11725,1105,888,23
2020-10-03,19181,Warren,13057,994,852,6
2020-10-03,19099,Jasper,8324,904,613,34
2020-10-03,19057,Des Moines,9264,871,635,9
2020-10-03,19087,Henry,5357,833,435,4
2020-10-03,19125,Marion,7219,797,736,9
2020-10-03,19171,Tama,4650,790,669,32
2020-10-03,19027,Carroll,5900,739,489,5
2020-10-03,19111,Lee,6628,690,507,7
2020-10-03,19197,Wright,4634,609,536,1
2020-10-03,19059,Dickinson,5499,569,434,7
2020-10-03,19015,Boone,6607,550,376,8
2020-10-03,19017,Bremer,5550,520,391,7
2020-10-03,19183,Washington,5362,513,371,11
2020-10-03,19055,Delaware,4075,494,401,4
2020-10-03,19141,O'Brien,3215,451,230,9
2020-10-03,19123,Mahaska,5121,447,329,21
2020-10-03,19115,Louisa,2690,442,386,15
2020-10-03,19119,Lyon,2101,419,187,4
2020-10-03,19097,Jackson,4129,391,236,3
2020-10-03,19067,Floyd,3998,374,314,5
2020-10-03,19041,Clay,3974,369,242,4
2020-10-03,19011,Benton,5636,359,224,1
2020-10-03,19069,Franklin,2617,355,317,18
2020-10-03,19191,Winneshiek,4432,350,267,8
2020-10-03,19157,Poweshiek,3916,344,231,9
2020-10-03,19079,Hamilton,3767,341,311,3
2020-10-03,19189,Winnebago,3096,337,203,14
2020-10-03,19083,Hardin,3983,323,252,1
2020-10-03,19019,Buchanan,4631,313,192,1
2020-10-03,19109,Kossuth,3670,312,141,0
2020-10-03,19085,Harrison,2988,310,180,5
2020-10-03,19105,Jones,4092,309,189,3
2020-10-03,19063,Emmet,2273,292,220,10
2020-10-03,19023,Butler,3458,291,264,2
2020-10-03,19035,Cherokee,2958,291,150,2
2020-10-03,19037,Chickasaw,2704,287,255,1
2020-10-03,19077,Guthrie,2816,287,179,10
2020-10-03,19161,Sac,2817,286,129,0
2020-10-03,19165,Shelby,2497,282,254,1
2020-10-03,19043,Clayton,3382,281,246,3
2020-10-03,19031,Cedar,4044,274,182,2
2020-10-03,19039,Clarke,2396,273,245,3
2020-10-03,19005,Allamakee,2973,269,191,6
2020-10-03,19121,Madison,3648,261,186,2
2020-10-03,19095,Iowa,4134,247,126,1
2020-10-03,19065,Fayette,4306,247,159,2
2020-10-03,19075,Grundy,2904,238,147,4
2020-10-03,19145,Page,2939,237,177,0
2020-10-03,19147,Palo Alto,2266,229,128,0
2020-10-03,19129,Mills,3862,219,143,1
2020-10-03,19081,Hancock,2683,212,186,2
2020-10-03,19025,Calhoun,2693,206,175,3
2020-10-03,19091,Humboldt,2370,201,182,3
2020-10-03,19131,Mitchell,2885,200,143,0
2020-10-03,19089,Howard,2127,196,147,7
2020-10-03,19029,Cass,2873,192,163,2
2020-10-03,19143,Osceola,1130,182,103,0
2020-10-03,19151,Pocahontas,1831,177,140,2
2020-10-03,19133,Monona,1977,173,111,1
2020-10-03,19135,Monroe,1418,164,113,11
2020-10-03,19117,Lucas,1689,160,99,6
2020-10-03,19173,Taylor,1293,159,116,1
2020-10-03,19175,Union,3208,152,102,3
2020-10-03,19007,Appanoose,2692,149,125,3
2020-10-03,19101,Jefferson,2969,149,121,1
2020-10-03,19093,Ida,1582,145,55,2
2020-10-03,19071,Fremont,1330,138,64,0
2020-10-03,19051,Davis,1370,131,96,4
2020-10-03,19177,Van Buren,1240,126,110,1
2020-10-03,19073,Greene,2164,125,69,0
2020-10-03,19107,Keokuk,1814,125,75,1
2020-10-03,19195,Worth,1736,114,88,0
2020-10-03,19137,Montgomery,2009,108,93,5
2020-10-03,19009,Audubon,1256,103,39,1
2020-10-03,19185,Wayne,1129,91,79,3
2020-10-03,19001,Adair,1602,76,50,1
2020-10-03,19053,Decatur,1612,76,51,0
2020-10-03,19159,Ringgold,1211,55,47,2
2020-10-03,19003,Adams,683,39,28,0
2020-10-03,NA,Pending Investigation,3304,9,0,0
