date,fips,county,tests,cases,recovered,deaths
2021-07-09,19153,Polk,300113,58625,57764,643
2021-07-09,19113,Linn,127779,21370,20888,342
2021-07-09,19163,Scott,95391,20342,20054,250
2021-07-09,19013,Black Hawk,75945,16459,15774,316
2021-07-09,19193,Woodbury,64176,15246,14993,230
2021-07-09,19103,Johnson,88033,14675,14527,85
2021-07-09,19061,Dubuque,61292,13564,13298,213
2021-07-09,19049,Dallas,58624,11377,11245,99
2021-07-09,19155,Pottawattamie,50707,11253,11045,177
2021-07-09,19169,Story,59696,10775,10692,48
2021-07-09,19181,Warren,30356,5896,5775,92
2021-07-09,19045,Clinton,25247,5625,5532,93
2021-07-09,19033,Cerro Gordo,27286,5594,5453,97
2021-07-09,19187,Webster,22524,5248,5050,94
2021-07-09,19167,Sioux,17137,5185,5103,74
2021-07-09,19139,Muscatine,23383,4901,4781,106
2021-07-09,19127,Marshall,23120,4900,4795,76
2021-07-09,19057,Des Moines,23023,4719,4616,73
2021-07-09,19099,Jasper,20083,4505,4419,73
2021-07-09,19179,Wapello,19979,4353,4215,122
2021-07-09,19021,Buena Vista,15656,4293,4244,40
2021-07-09,19149,Plymouth,14066,4044,3954,82
2021-07-09,19111,Lee,17286,3867,3770,58
2021-07-09,19125,Marion,17414,3656,3583,77
2021-07-09,19105,Jones,10821,3009,2951,57
2021-07-09,19087,Henry,11870,3004,2951,37
2021-07-09,19017,Bremer,13202,2910,2824,62
2021-07-09,19027,Carroll,12035,2856,2802,52
2021-07-09,19047,Crawford,9334,2697,2649,41
2021-07-09,19015,Boone,14889,2690,2653,34
2021-07-09,19011,Benton,13907,2620,2528,55
2021-07-09,19183,Washington,12868,2593,2543,51
2021-07-09,19059,Dickinson,11139,2505,2459,45
2021-07-09,19123,Mahaska,11282,2309,2236,51
2021-07-09,19097,Jackson,9922,2256,2217,42
2021-07-09,19041,Clay,9028,2172,2143,27
2021-07-09,19109,Kossuth,8525,2169,2110,66
2021-07-09,19171,Tama,9034,2131,2051,72
2021-07-09,19055,Delaware,8688,2111,2063,43
2021-07-09,19141,O'Brien,7049,2006,1950,61
2021-07-09,19191,Winneshiek,11122,2001,1934,35
2021-07-09,19019,Buchanan,10227,1951,1904,34
2021-07-09,19145,Page,6692,1949,1929,22
2021-07-09,19031,Cedar,9887,1925,1895,23
2021-07-09,19083,Hardin,9206,1893,1839,44
2021-07-09,19065,Fayette,10031,1879,1819,43
2021-07-09,19197,Wright,8288,1865,1819,40
2021-07-09,19079,Hamilton,8155,1832,1779,51
2021-07-09,19085,Harrison,6847,1812,1737,73
2021-07-09,19043,Clayton,7797,1718,1665,57
2021-07-09,19023,Butler,7574,1670,1621,35
2021-07-09,19121,Madison,8526,1664,1642,19
2021-07-09,19067,Floyd,8432,1646,1595,42
2021-07-09,19129,Mills,8050,1637,1603,24
2021-07-09,19035,Cherokee,6388,1610,1563,38
2021-07-09,19119,Lyon,5098,1607,1558,41
2021-07-09,19157,Poweshiek,9542,1586,1553,36
2021-07-09,19005,Allamakee,6698,1546,1487,52
2021-07-09,19081,Hancock,6589,1513,1466,34
2021-07-09,19095,Iowa,8749,1479,1455,24
2021-07-09,19189,Winnebago,6847,1453,1415,31
2021-07-09,19025,Calhoun,5673,1406,1377,13
2021-07-09,19029,Cass,6769,1390,1336,55
2021-07-09,19075,Grundy,6183,1387,1348,33
2021-07-09,19063,Emmet,5556,1367,1320,41
2021-07-09,19101,Jefferson,8557,1340,1308,35
2021-07-09,19161,Sac,5735,1323,1306,20
2021-07-09,19165,Shelby,5858,1307,1268,37
2021-07-09,19115,Louisa,5831,1302,1252,49
2021-07-09,19175,Union,7052,1293,1260,35
2021-07-09,19007,Appanoose,6504,1275,1227,49
2021-07-09,19131,Mitchell,5812,1266,1231,43
2021-07-09,19069,Franklin,5943,1258,1218,23
2021-07-09,19037,Chickasaw,5898,1253,1235,17
2021-07-09,19077,Guthrie,6221,1240,1207,32
2021-07-09,19091,Humboldt,5068,1223,1180,26
2021-07-09,19147,Palo Alto,4793,1145,1117,24
2021-07-09,19089,Howard,4962,1052,1028,22
2021-07-09,19137,Montgomery,4555,1052,1014,38
2021-07-09,19039,Clarke,5284,1021,990,24
2021-07-09,19107,Keokuk,4636,993,948,32
2021-07-09,19135,Monroe,3838,978,943,32
2021-07-09,19093,Ida,3591,923,880,35
2021-07-09,19001,Adair,3881,884,849,32
2021-07-09,19151,Pocahontas,3667,865,844,22
2021-07-09,19051,Davis,3814,860,833,25
2021-07-09,19133,Monona,4022,847,817,31
2021-07-09,19143,Osceola,2709,790,776,17
2021-07-09,19073,Greene,4432,789,775,11
2021-07-09,19117,Lucas,4179,771,750,23
2021-07-09,19195,Worth,4195,755,745,8
2021-07-09,19173,Taylor,2700,669,658,12
2021-07-09,19071,Fremont,2874,646,637,10
2021-07-09,19053,Decatur,3834,644,628,9
2021-07-09,19177,Van Buren,2992,567,550,18
2021-07-09,19159,Ringgold,2550,563,536,24
2021-07-09,19185,Wayne,2742,560,528,23
2021-07-09,19009,Audubon,2909,529,513,11
2021-07-09,19003,Adams,1705,342,334,4
2021-07-09,NA,Pending Investigation,3330,6,4,0
