date,fips,county,tests,cases,recovered,deaths
2021-04-17,19153,Polk,277785,55892,52836,604
2021-04-17,19113,Linn,117975,20270,19333,330
2021-04-17,19163,Scott,87145,19017,17344,234
2021-04-17,19013,Black Hawk,70670,15532,14842,306
2021-04-17,19193,Woodbury,60382,14878,14043,221
2021-04-17,19103,Johnson,80728,14017,13208,81
2021-04-17,19061,Dubuque,57470,13127,12341,202
2021-04-17,19049,Dallas,54566,10884,10371,96
2021-04-17,19155,Pottawattamie,47737,10713,9946,162
2021-04-17,19169,Story,56360,10298,9774,47
2021-04-17,19181,Warren,28163,5544,5199,86
2021-04-17,19045,Clinton,22949,5366,5017,90
2021-04-17,19033,Cerro Gordo,25048,5213,4973,86
2021-04-17,19187,Webster,21404,5077,4921,91
2021-04-17,19167,Sioux,16148,5055,4813,73
2021-04-17,19127,Marshall,21543,4769,4638,74
2021-04-17,19139,Muscatine,21661,4589,4265,96
2021-04-17,19057,Des Moines,21248,4407,4273,65
2021-04-17,19179,Wapello,18576,4251,4051,120
2021-04-17,19021,Buena Vista,14832,4216,4120,40
2021-04-17,19099,Jasper,18357,4076,3892,70
2021-04-17,19149,Plymouth,13374,3969,3693,79
2021-04-17,19111,Lee,15982,3681,3583,55
2021-04-17,19125,Marion,16172,3544,3420,75
2021-04-17,19105,Jones,10025,2930,2822,55
2021-04-17,19087,Henry,11020,2859,2781,37
2021-04-17,19017,Bremer,12370,2791,2679,60
2021-04-17,19027,Carroll,11443,2790,2687,51
2021-04-17,19047,Crawford,8875,2622,2543,40
2021-04-17,19015,Boone,13954,2579,2456,33
2021-04-17,19011,Benton,12870,2499,2397,55
2021-04-17,19183,Washington,11949,2493,2374,50
2021-04-17,19059,Dickinson,10547,2412,2109,43
2021-04-17,19123,Mahaska,10497,2244,2126,50
2021-04-17,19097,Jackson,9197,2178,2079,42
2021-04-17,19109,Kossuth,7993,2125,1977,63
2021-04-17,19041,Clay,8493,2103,1900,25
2021-04-17,19171,Tama,8493,2066,1974,71
2021-04-17,19055,Delaware,8098,2025,1850,39
2021-04-17,19141,O'Brien,6715,1964,1828,60
2021-04-17,19191,Winneshiek,10375,1940,1836,33
2021-04-17,19145,Page,6405,1903,1810,21
2021-04-17,19019,Buchanan,9542,1885,1779,31
2021-04-17,19031,Cedar,9204,1839,1739,23
2021-04-17,19065,Fayette,9353,1829,1771,41
2021-04-17,19197,Wright,7872,1800,1725,35
2021-04-17,19083,Hardin,8492,1795,1697,42
2021-04-17,19079,Hamilton,7578,1780,1709,49
2021-04-17,19085,Harrison,6495,1756,1625,73
2021-04-17,19043,Clayton,7144,1668,1568,55
2021-04-17,19023,Butler,7071,1625,1567,34
2021-04-17,19129,Mills,7705,1583,1513,20
2021-04-17,19035,Cherokee,6068,1569,1471,38
2021-04-17,19067,Floyd,7735,1552,1466,42
2021-04-17,19119,Lyon,4672,1545,1444,41
2021-04-17,19121,Madison,7795,1537,1468,19
2021-04-17,19157,Poweshiek,8962,1525,1480,33
2021-04-17,19005,Allamakee,6215,1490,1425,51
2021-04-17,19095,Iowa,8184,1453,1407,24
2021-04-17,19081,Hancock,6030,1433,1361,34
2021-04-17,19189,Winnebago,6295,1358,1301,31
2021-04-17,19075,Grundy,5811,1350,1298,32
2021-04-17,19029,Cass,6361,1343,1270,54
2021-04-17,19025,Calhoun,5324,1332,1305,11
2021-04-17,19101,Jefferson,7718,1305,1270,35
2021-04-17,19063,Emmet,5154,1284,1138,40
2021-04-17,19165,Shelby,5504,1275,1175,37
2021-04-17,19161,Sac,5389,1270,1202,19
2021-04-17,19007,Appanoose,6045,1266,1199,47
2021-04-17,19115,Louisa,5443,1265,1195,49
2021-04-17,19131,Mitchell,5504,1252,1200,41
2021-04-17,19175,Union,6540,1240,1180,32
2021-04-17,19037,Chickasaw,5474,1225,1199,15
2021-04-17,19091,Humboldt,4757,1182,1132,26
2021-04-17,19077,Guthrie,5729,1178,1092,29
2021-04-17,19069,Franklin,5309,1125,1081,21
2021-04-17,19147,Palo Alto,4521,1106,1016,22
2021-04-17,19089,Howard,4641,1028,990,22
2021-04-17,19137,Montgomery,4307,1002,940,37
2021-04-17,NA,Pending Investigation,5658,1002,934,0
2021-04-17,19039,Clarke,4895,981,947,23
2021-04-17,19107,Keokuk,4262,944,903,30
2021-04-17,19135,Monroe,3523,936,885,28
2021-04-17,19093,Ida,3368,895,825,33
2021-04-17,19001,Adair,3634,844,804,32
2021-04-17,19151,Pocahontas,3447,834,804,21
2021-04-17,19133,Monona,3794,809,756,30
2021-04-17,19051,Davis,3479,799,752,24
2021-04-17,19073,Greene,4148,765,736,10
2021-04-17,19143,Osceola,2506,751,676,16
2021-04-17,19117,Lucas,3842,749,722,23
2021-04-17,19195,Worth,3823,708,671,8
2021-04-17,19173,Taylor,2518,651,633,12
2021-04-17,19071,Fremont,2678,612,563,9
2021-04-17,19053,Decatur,3565,589,574,9
2021-04-17,19177,Van Buren,2761,555,523,18
2021-04-17,19159,Ringgold,2402,536,501,23
2021-04-17,19185,Wayne,2478,521,478,23
2021-04-17,19009,Audubon,2651,493,466,9
2021-04-17,19003,Adams,1590,328,315,4
