date,fips,county,tests,cases,recovered,deaths
2020-12-24,19153,Polk,215995,40099,33005,406
2020-12-24,19113,Linn,93770,16222,13926,240
2020-12-24,19163,Scott,68907,13688,11043,146
2020-12-24,19013,Black Hawk,56352,12402,10783,214
2020-12-24,19193,Woodbury,49031,11983,10290,163
2020-12-24,19103,Johnson,63735,10753,9358,47
2020-12-24,19061,Dubuque,47264,10367,9085,135
2020-12-24,19155,Pottawattamie,38931,8014,6325,89
2020-12-24,19169,Story,45125,7815,6804,29
2020-12-24,19049,Dallas,42505,7633,6262,63
2020-12-24,19187,Webster,18329,4324,3529,61
2020-12-24,19167,Sioux,13090,4260,3712,41
2020-12-24,19033,Cerro Gordo,19442,4216,3463,59
2020-12-24,19045,Clinton,17493,4012,3257,53
2020-12-24,19127,Marshall,16679,3917,3431,54
2020-12-24,19021,Buena Vista,12707,3619,3016,25
2020-12-24,19181,Warren,21830,3601,2765,33
2020-12-24,19139,Muscatine,17126,3460,2838,73
2020-12-24,19057,Des Moines,17023,3412,2845,32
2020-12-24,19149,Plymouth,11135,3295,2719,51
2020-12-24,19179,Wapello,13384,3016,2472,90
2020-12-24,19111,Lee,12723,2776,2008,24
2020-12-24,19099,Jasper,14204,2764,2136,52
2020-12-24,19125,Marion,12196,2583,2020,46
2020-12-24,19105,Jones,8079,2544,2295,44
2020-12-24,19087,Henry,9042,2429,1935,24
2020-12-24,19027,Carroll,9432,2302,1943,27
2020-12-24,19017,Bremer,9342,2207,1933,41
2020-12-24,19047,Crawford,7312,2053,1742,20
2020-12-24,19011,Benton,10160,1947,1664,36
2020-12-24,19183,Washington,9467,1799,1398,27
2020-12-24,19015,Boone,10611,1787,1364,15
2020-12-24,19097,Jackson,7181,1742,1495,29
2020-12-24,19171,Tama,6843,1716,1483,55
2020-12-24,19059,Dickinson,8576,1665,1367,15
2020-12-24,19123,Mahaska,8257,1630,1225,32
2020-12-24,19055,Delaware,6480,1595,1411,29
2020-12-24,19141,O'Brien,5483,1561,1283,50
2020-12-24,19041,Clay,6791,1508,1154,11
2020-12-24,19197,Wright,6714,1493,1225,16
2020-12-24,19109,Kossuth,6207,1467,1041,27
2020-12-24,19079,Hamilton,6077,1430,1098,22
2020-12-24,19083,Hardin,6720,1417,1141,25
2020-12-24,19019,Buchanan,7512,1393,1156,16
2020-12-24,19085,Harrison,5281,1379,1050,52
2020-12-24,19031,Cedar,7195,1339,1050,18
2020-12-24,19191,Winneshiek,7828,1334,946,17
2020-12-24,19145,Page,4996,1329,1192,13
2020-12-24,19043,Clayton,5548,1323,1091,39
2020-12-24,19065,Fayette,7202,1303,1028,16
2020-12-24,19129,Mills,6492,1249,1061,14
2020-12-24,19067,Floyd,6225,1245,1012,33
2020-12-24,19023,Butler,5512,1224,993,18
2020-12-24,19119,Lyon,3693,1216,1013,24
2020-12-24,19035,Cherokee,4782,1183,834,20
2020-12-24,19025,Calhoun,4531,1162,1048,9
2020-12-24,19157,Poweshiek,6752,1161,977,24
2020-12-24,19081,Hancock,4763,1138,852,24
2020-12-24,19005,Allamakee,4859,1130,765,20
2020-12-24,19095,Iowa,6509,1115,911,20
2020-12-24,19189,Winnebago,4936,1085,889,28
2020-12-24,19075,Grundy,4551,1027,842,15
2020-12-24,19115,Louisa,4401,1019,837,24
2020-12-24,19161,Sac,4394,1018,831,14
2020-12-24,19037,Chickasaw,4265,1008,845,10
2020-12-24,19029,Cass,5042,1005,780,38
2020-12-24,19175,Union,5464,998,756,16
2020-12-24,19131,Mitchell,4494,979,771,27
2020-12-24,19063,Emmet,4072,966,774,23
2020-12-24,19101,Jefferson,5935,953,703,20
2020-12-24,19091,Humboldt,3866,929,766,18
2020-12-24,19007,Appanoose,4706,927,774,34
2020-12-24,19077,Guthrie,4532,916,734,22
2020-12-24,19165,Shelby,4191,914,751,23
2020-12-24,19121,Madison,5799,904,685,8
2020-12-24,19069,Franklin,4077,863,720,17
2020-12-24,19147,Palo Alto,3666,786,646,8
2020-12-24,19107,Keokuk,3273,764,589,23
2020-12-24,19137,Montgomery,3407,696,457,15
2020-12-24,19151,Pocahontas,2944,680,559,11
2020-12-24,19093,Ida,2608,680,469,22
2020-12-24,19089,Howard,3460,672,529,15
2020-12-24,19039,Clarke,3674,633,479,6
2020-12-24,19073,Greene,3450,631,520,7
2020-12-24,19051,Davis,2512,609,477,18
2020-12-24,19143,Osceola,2002,604,522,7
2020-12-24,19135,Monroe,2505,599,429,16
2020-12-24,NA,Pending Investigation,9380,585,390,0
2020-12-24,19001,Adair,2896,561,431,17
2020-12-24,19133,Monona,3037,538,434,15
2020-12-24,19173,Taylor,2091,526,460,8
2020-12-24,19117,Lucas,2960,512,316,7
2020-12-24,19195,Worth,2910,491,359,2
2020-12-24,19071,Fremont,2172,454,373,5
2020-12-24,19177,Van Buren,2177,445,369,11
2020-12-24,19053,Decatur,2686,408,321,3
2020-12-24,19009,Audubon,2029,363,293,7
2020-12-24,19185,Wayne,1777,357,290,21
2020-12-24,19159,Ringgold,1918,348,214,7
2020-12-24,19003,Adams,1252,245,169,2
