date,fips,county,tests,cases,recovered,deaths
2020-09-01,19153,Polk,108569,13414,9789,225
2020-09-01,19193,Woodbury,24474,4148,3622,56
2020-09-01,19103,Johnson,32112,3978,1971,26
2020-09-01,19013,Black Hawk,28907,3802,2976,75
2020-09-01,19113,Linn,41296,3002,2454,94
2020-09-01,19169,Story,24627,2454,1159,16
2020-09-01,19049,Dallas,21010,2384,1800,38
2020-09-01,19163,Scott,30001,2245,1676,21
2020-09-01,19061,Dubuque,24157,2041,1574,36
2020-09-01,19021,Buena Vista,8341,1826,1774,12
2020-09-01,19127,Marshall,9493,1647,1398,32
2020-09-01,19155,Pottawattamie,17618,1635,1368,34
2020-09-01,19179,Wapello,6803,1087,902,50
2020-09-01,19187,Webster,10268,1032,650,9
2020-09-01,19139,Muscatine,7880,968,790,52
2020-09-01,19167,Sioux,5574,899,606,3
2020-09-01,19045,Clinton,7740,837,343,10
2020-09-01,19047,Crawford,4111,836,720,3
2020-09-01,19033,Cerro Gordo,9541,834,573,20
2020-09-01,19181,Warren,10074,781,540,5
2020-09-01,19149,Plymouth,5027,745,437,18
2020-09-01,19171,Tama,3718,623,515,29
2020-09-01,19099,Jasper,5993,588,436,30
2020-09-01,19057,Des Moines,6721,569,149,5
2020-09-01,19197,Wright,3781,520,438,1
2020-09-01,19125,Marion,5174,488,209,1
2020-09-01,19111,Lee,4707,427,103,5
2020-09-01,19059,Dickinson,4407,424,370,6
2020-09-01,19115,Louisa,2100,396,363,14
2020-09-01,19027,Carroll,4281,394,198,3
2020-09-01,19015,Boone,4864,346,238,4
2020-09-01,19183,Washington,3653,340,298,11
2020-09-01,19017,Bremer,4230,332,192,7
2020-09-01,19069,Franklin,2148,295,251,17
2020-09-01,19087,Henry,3558,288,114,4
2020-09-01,19079,Hamilton,3116,280,238,2
2020-09-01,19039,Clarke,1850,241,187,3
2020-09-01,19041,Clay,3026,236,174,3
2020-09-01,19083,Hardin,3026,231,170,1
2020-09-01,19055,Delaware,3051,222,162,3
2020-09-01,19191,Winneshiek,3131,221,114,3
2020-09-01,19063,Emmet,1796,221,183,8
2020-09-01,19123,Mahaska,3664,220,152,18
2020-09-01,19067,Floyd,3220,216,179,3
2020-09-01,19165,Shelby,1874,215,205,1
2020-09-01,19097,Jackson,3143,214,145,1
2020-09-01,19023,Butler,2693,210,159,2
2020-09-01,19011,Benton,4085,204,147,1
2020-09-01,19141,O'Brien,2321,201,130,7
2020-09-01,19157,Poweshiek,2767,183,161,8
2020-09-01,19005,Allamakee,2376,183,148,5
2020-09-01,19043,Clayton,2712,180,145,3
2020-09-01,19019,Buchanan,3506,175,116,1
2020-09-01,19077,Guthrie,2118,173,128,5
2020-09-01,19105,Jones,3032,172,132,2
2020-09-01,19121,Madison,2808,165,111,2
2020-09-01,19189,Winnebago,2406,160,78,9
2020-09-01,19081,Hancock,2134,157,131,2
2020-09-01,19031,Cedar,2922,155,123,1
2020-09-01,19091,Humboldt,1817,153,91,2
2020-09-01,19119,Lyon,1306,151,131,2
2020-09-01,19085,Harrison,1985,148,120,2
2020-09-01,19065,Fayette,3259,142,83,1
2020-09-01,19035,Cherokee,1982,140,124,2
2020-09-01,19089,Howard,1564,133,71,2
2020-09-01,19151,Pocahontas,1399,131,110,2
2020-09-01,19075,Grundy,2226,130,73,1
2020-09-01,19025,Calhoun,1957,130,87,2
2020-09-01,19129,Mills,3082,129,85,1
2020-09-01,19109,Kossuth,2538,122,82,0
2020-09-01,19101,Jefferson,2337,120,79,0
2020-09-01,19147,Palo Alto,1716,117,79,0
2020-09-01,19095,Iowa,3058,116,91,1
2020-09-01,19161,Sac,1995,114,83,0
2020-09-01,19145,Page,2237,113,108,0
2020-09-01,19173,Taylor,1030,113,102,1
2020-09-01,19029,Cass,2048,112,100,2
2020-09-01,19135,Monroe,1052,110,62,8
2020-09-01,19037,Chickasaw,1987,110,82,0
2020-09-01,19131,Mitchell,2217,108,78,0
2020-09-01,19133,Monona,1353,107,92,1
2020-09-01,19177,Van Buren,957,100,33,1
2020-09-01,19143,Osceola,753,99,80,0
2020-09-01,19117,Lucas,1154,97,47,5
2020-09-01,19175,Union,2529,93,71,3
2020-09-01,19007,Appanoose,1939,85,61,3
2020-09-01,19051,Davis,1012,83,52,2
2020-09-01,19195,Worth,1323,80,66,0
2020-09-01,19137,Montgomery,1560,79,63,5
2020-09-01,19107,Keokuk,1272,64,31,1
2020-09-01,19071,Fremont,843,59,35,0
2020-09-01,19073,Greene,1490,53,38,0
2020-09-01,19185,Wayne,733,52,30,2
2020-09-01,19001,Adair,1265,50,23,1
2020-09-01,19053,Decatur,1157,44,24,0
2020-09-01,19093,Ida,1104,43,29,0
2020-09-01,19009,Audubon,855,40,27,1
2020-09-01,19159,Ringgold,856,31,27,1
2020-09-01,19003,Adams,495,22,17,0
2020-09-01,NA,Pending Investigation,7925,14,1,0
