date,fips,county,tests,cases,recovered,deaths
2021-07-10,19153,Polk,300287,58644,57775,643
2021-07-10,19113,Linn,127865,21381,20892,342
2021-07-10,19163,Scott,95456,20344,20058,250
2021-07-10,19013,Black Hawk,76003,16478,15794,316
2021-07-10,19193,Woodbury,64208,15247,14994,230
2021-07-10,19103,Johnson,88113,14676,14531,85
2021-07-10,19061,Dubuque,61328,13568,13300,213
2021-07-10,19049,Dallas,58670,11381,11248,99
2021-07-10,19155,Pottawattamie,50730,11257,11046,177
2021-07-10,19169,Story,59728,10777,10692,48
2021-07-10,19181,Warren,30368,5899,5777,92
2021-07-10,19045,Clinton,25265,5626,5533,93
2021-07-10,19033,Cerro Gordo,27306,5596,5461,97
2021-07-10,19187,Webster,22542,5257,5052,94
2021-07-10,19167,Sioux,17146,5185,5103,74
2021-07-10,19127,Marshall,23131,4906,4795,76
2021-07-10,19139,Muscatine,23399,4902,4782,106
2021-07-10,19057,Des Moines,23038,4726,4617,73
2021-07-10,19099,Jasper,20087,4505,4420,73
2021-07-10,19179,Wapello,19994,4353,4215,122
2021-07-10,19021,Buena Vista,15666,4293,4244,40
2021-07-10,19149,Plymouth,14070,4045,3953,82
2021-07-10,19111,Lee,17340,3872,3773,58
2021-07-10,19125,Marion,17431,3660,3584,77
2021-07-10,19105,Jones,10825,3009,2951,57
2021-07-10,19087,Henry,11882,3004,2952,37
2021-07-10,19017,Bremer,13212,2910,2824,62
2021-07-10,19027,Carroll,12039,2856,2802,52
2021-07-10,19047,Crawford,9342,2697,2649,41
2021-07-10,19015,Boone,14899,2692,2653,34
2021-07-10,19011,Benton,13921,2620,2530,55
2021-07-10,19183,Washington,12874,2594,2542,51
2021-07-10,19059,Dickinson,11141,2505,2459,45
2021-07-10,19123,Mahaska,11286,2309,2236,51
2021-07-10,19097,Jackson,9927,2256,2218,42
2021-07-10,19041,Clay,9029,2173,2143,27
2021-07-10,19109,Kossuth,8531,2171,2110,66
2021-07-10,19171,Tama,9037,2130,2050,72
2021-07-10,19055,Delaware,8693,2112,2063,43
2021-07-10,19141,O'Brien,7050,2006,1950,61
2021-07-10,19191,Winneshiek,11135,2001,1934,35
2021-07-10,19019,Buchanan,10230,1951,1904,34
2021-07-10,19145,Page,6694,1950,1929,22
2021-07-10,19031,Cedar,9892,1925,1898,23
2021-07-10,19083,Hardin,9209,1893,1840,44
2021-07-10,19065,Fayette,10042,1879,1822,43
2021-07-10,19197,Wright,8291,1866,1819,40
2021-07-10,19079,Hamilton,8161,1836,1779,51
2021-07-10,19085,Harrison,6849,1812,1737,73
2021-07-10,19043,Clayton,7801,1718,1665,57
2021-07-10,19023,Butler,7574,1670,1621,35
2021-07-10,19121,Madison,8533,1668,1642,19
2021-07-10,19067,Floyd,8437,1646,1597,42
2021-07-10,19129,Mills,8057,1637,1603,24
2021-07-10,19035,Cherokee,6390,1610,1563,38
2021-07-10,19119,Lyon,5100,1607,1558,41
2021-07-10,19157,Poweshiek,9547,1586,1553,36
2021-07-10,19005,Allamakee,6713,1548,1487,52
2021-07-10,19081,Hancock,6594,1516,1467,34
2021-07-10,19095,Iowa,8751,1479,1456,24
2021-07-10,19189,Winnebago,6849,1453,1415,31
2021-07-10,19025,Calhoun,5677,1407,1377,13
2021-07-10,19029,Cass,6772,1390,1336,55
2021-07-10,19075,Grundy,6184,1387,1349,33
2021-07-10,19063,Emmet,5559,1367,1320,41
2021-07-10,19101,Jefferson,8575,1340,1308,35
2021-07-10,19161,Sac,5736,1323,1306,20
2021-07-10,19165,Shelby,5861,1307,1268,37
2021-07-10,19115,Louisa,5832,1302,1252,49
2021-07-10,19175,Union,7060,1294,1260,35
2021-07-10,19007,Appanoose,6512,1275,1227,49
2021-07-10,19131,Mitchell,5818,1268,1231,43
2021-07-10,19069,Franklin,5947,1258,1218,23
2021-07-10,19037,Chickasaw,5900,1253,1235,17
2021-07-10,19077,Guthrie,6226,1242,1207,32
2021-07-10,19091,Humboldt,5069,1223,1181,26
2021-07-10,19147,Palo Alto,4795,1145,1117,24
2021-07-10,19137,Montgomery,4556,1053,1014,38
2021-07-10,19089,Howard,4964,1052,1028,22
2021-07-10,19039,Clarke,5290,1021,990,24
2021-07-10,19107,Keokuk,4638,994,948,32
2021-07-10,19135,Monroe,3841,980,943,32
2021-07-10,19093,Ida,3593,923,881,35
2021-07-10,19001,Adair,3882,884,849,32
2021-07-10,19151,Pocahontas,3673,865,844,22
2021-07-10,19051,Davis,3818,860,833,25
2021-07-10,19133,Monona,4026,850,817,31
2021-07-10,19143,Osceola,2709,790,776,17
2021-07-10,19073,Greene,4433,789,775,11
2021-07-10,19117,Lucas,4182,771,750,23
2021-07-10,19195,Worth,4198,755,745,8
2021-07-10,19173,Taylor,2702,669,658,12
2021-07-10,19071,Fremont,2875,647,637,10
2021-07-10,19053,Decatur,3838,645,628,9
2021-07-10,19177,Van Buren,2993,567,550,18
2021-07-10,19159,Ringgold,2551,564,536,24
2021-07-10,19185,Wayne,2742,560,528,23
2021-07-10,19009,Audubon,2910,529,513,11
2021-07-10,19003,Adams,1706,342,333,4
2021-07-10,NA,Pending Investigation,3330,6,4,0
