date,fips,county,tests,cases,recovered,deaths
2021-01-24,19153,Polk,235934,46773,40414,465
2021-01-24,19113,Linn,101463,18039,16222,279
2021-01-24,19163,Scott,75177,15840,13852,172
2021-01-24,19013,Black Hawk,60984,14079,12585,243
2021-01-24,19193,Woodbury,52371,13120,11977,181
2021-01-24,19103,Johnson,69394,12287,10771,52
2021-01-24,19061,Dubuque,50736,11622,10377,159
2021-01-24,19155,Pottawattamie,42072,9164,8050,115
2021-01-24,19049,Dallas,46558,9079,7719,72
2021-01-24,19169,Story,48830,8805,7906,38
2021-01-24,19033,Cerro Gordo,21111,4735,4236,72
2021-01-24,19187,Webster,19397,4720,4335,77
2021-01-24,19167,Sioux,14026,4597,4246,57
2021-01-24,19181,Warren,24054,4582,3665,39
2021-01-24,19045,Clinton,19114,4579,4031,68
2021-01-24,19127,Marshall,18125,4308,3984,62
2021-01-24,19021,Buena Vista,13473,3963,3642,30
2021-01-24,19139,Muscatine,18738,3958,3434,78
2021-01-24,19057,Des Moines,18492,3949,3434,43
2021-01-24,19149,Plymouth,11856,3531,3273,70
2021-01-24,19179,Wapello,14934,3503,2998,98
2021-01-24,19099,Jasper,15516,3318,2787,59
2021-01-24,19111,Lee,13876,3244,2794,32
2021-01-24,19125,Marion,13423,3090,2616,53
2021-01-24,19105,Jones,8696,2746,2566,50
2021-01-24,19087,Henry,9688,2672,2428,31
2021-01-24,19027,Carroll,10163,2581,2292,34
2021-01-24,19017,Bremer,10374,2498,2257,48
2021-01-24,19047,Crawford,7822,2343,2064,24
2021-01-24,19183,Washington,10340,2231,1812,33
2021-01-24,19015,Boone,11885,2227,1821,17
2021-01-24,19011,Benton,10931,2130,1938,50
2021-01-24,19123,Mahaska,9095,1976,1633,37
2021-01-24,19097,Jackson,7857,1949,1738,32
2021-01-24,19171,Tama,7379,1901,1702,59
2021-01-24,19059,Dickinson,9156,1887,1662,29
2021-01-24,19109,Kossuth,6825,1790,1531,44
2021-01-24,19055,Delaware,6941,1762,1580,36
2021-01-24,19041,Clay,7290,1725,1511,21
2021-01-24,19141,O'Brien,5884,1710,1541,1
2021-01-24,19141,O'Brien,5884,1710,1541,54
2021-01-24,19197,Wright,7149,1669,1506,24
2021-01-24,19065,Fayette,7967,1659,1330,24
2021-01-24,19079,Hamilton,6556,1623,1434,30
2021-01-24,19019,Buchanan,8139,1621,1408,24
2021-01-24,19191,Winneshiek,8638,1608,1329,20
2021-01-24,19085,Harrison,5759,1582,1372,62
2021-01-24,19083,Hardin,7240,1570,1429,31
2021-01-24,19031,Cedar,7862,1556,1343,19
2021-01-24,19043,Clayton,6094,1538,1352,49
2021-01-24,19023,Butler,6070,1513,1248,24
2021-01-24,19145,Page,5333,1471,1353,15
2021-01-24,19067,Floyd,6739,1415,1243,36
2021-01-24,19035,Cherokee,5292,1400,1204,27
2021-01-24,19129,Mills,6931,1385,1251,17
2021-01-24,19119,Lyon,4049,1375,1222,33
2021-01-24,19157,Poweshiek,7388,1351,1164,24
2021-01-24,19081,Hancock,5168,1314,1133,24
2021-01-24,19005,Allamakee,5241,1309,1128,30
2021-01-24,19095,Iowa,7081,1277,1110,22
2021-01-24,19121,Madison,6549,1236,924,10
2021-01-24,19025,Calhoun,4753,1234,1162,9
2021-01-24,19075,Grundy,5011,1226,1063,28
2021-01-24,19101,Jefferson,6589,1221,973,25
2021-01-24,19189,Winnebago,5332,1221,1069,29
2021-01-24,19131,Mitchell,4912,1168,1000,37
2021-01-24,19115,Louisa,4785,1161,1025,30
2021-01-24,19029,Cass,5504,1150,985,43
2021-01-24,19037,Chickasaw,4660,1137,1015,12
2021-01-24,19007,Appanoose,5194,1125,940,40
2021-01-24,19161,Sac,4707,1120,1016,15
2021-01-24,19175,Union,5867,1115,998,23
2021-01-24,19063,Emmet,4447,1113,963,32
2021-01-24,19091,Humboldt,4214,1066,938,19
2021-01-24,19165,Shelby,4630,1056,908,27
2021-01-24,19077,Guthrie,4922,1041,917,24
2021-01-24,19069,Franklin,4493,1033,851,18
2021-01-24,NA,Pending Investigation,8681,1014,610,0
2021-01-24,19147,Palo Alto,3925,918,788,11
2021-01-24,19137,Montgomery,3815,888,719,24
2021-01-24,19107,Keokuk,3571,863,768,26
2021-01-24,19089,Howard,3833,859,675,19
2021-01-24,19135,Monroe,2930,822,612,20
2021-01-24,19039,Clarke,4136,811,656,9
2021-01-24,19151,Pocahontas,3132,781,681,11
2021-01-24,19093,Ida,2817,760,677,30
2021-01-24,19051,Davis,2799,701,624,21
2021-01-24,19073,Greene,3665,697,636,7
2021-01-24,19001,Adair,3159,696,582,20
2021-01-24,19133,Monona,3275,685,530,18
2021-01-24,19117,Lucas,3305,666,533,10
2021-01-24,19143,Osceola,2147,647,604,11
2021-01-24,19195,Worth,3217,619,505,4
2021-01-24,19173,Taylor,2242,599,537,9
2021-01-24,19071,Fremont,2368,524,455,6
2021-01-24,19177,Van Buren,2337,502,442,15
2021-01-24,19053,Decatur,2983,496,417,4
2021-01-24,19159,Ringgold,2077,450,348,11
2021-01-24,19009,Audubon,2233,422,361,8
2021-01-24,19185,Wayne,1943,420,359,21
2021-01-24,19003,Adams,1378,299,254,3
