date,fips,county,tests,cases,recovered,deaths
2020-08-23,19153,Polk,101600,11710,8974,214
2020-08-23,19193,Woodbury,23524,3936,3522,54
2020-08-23,19013,Black Hawk,27453,3504,2814,69
2020-08-23,19113,Linn,38630,2733,2227,91
2020-08-23,19103,Johnson,28370,2480,1791,24
2020-08-23,19049,Dallas,19920,2111,1670,36
2020-08-23,19163,Scott,28336,1997,1518,18
2020-08-23,19061,Dubuque,22984,1899,1354,35
2020-08-23,19021,Buena Vista,8215,1814,1762,12
2020-08-23,19127,Marshall,9202,1566,1297,28
2020-08-23,19169,Story,22441,1566,1069,16
2020-08-23,19155,Pottawattamie,17019,1512,1177,31
2020-08-23,19179,Wapello,6416,1001,865,43
2020-08-23,19139,Muscatine,7530,923,747,48
2020-08-23,19047,Crawford,3971,783,696,3
2020-08-23,19167,Sioux,5116,765,560,3
2020-08-23,19033,Cerro Gordo,9073,710,529,20
2020-08-23,19187,Webster,9801,692,605,8
2020-08-23,19181,Warren,9481,653,478,5
2020-08-23,19045,Clinton,7048,653,248,6
2020-08-23,19149,Plymouth,4635,611,408,15
2020-08-23,19171,Tama,3589,583,491,29
2020-08-23,19099,Jasper,5555,522,416,29
2020-08-23,19197,Wright,3664,492,430,1
2020-08-23,19057,Des Moines,5773,417,128,3
2020-08-23,19059,Dickinson,4236,400,352,5
2020-08-23,19115,Louisa,2007,381,359,14
2020-08-23,19183,Washington,3442,316,288,10
2020-08-23,19015,Boone,4572,313,219,3
2020-08-23,19125,Marion,4307,296,182,0
2020-08-23,19027,Carroll,3941,295,179,2
2020-08-23,19069,Franklin,2049,274,228,16
2020-08-23,19017,Bremer,4001,265,161,7
2020-08-23,19111,Lee,4016,248,78,5
2020-08-23,19079,Hamilton,2989,246,228,2
2020-08-23,19041,Clay,2886,229,166,2
2020-08-23,19039,Clarke,1746,215,159,3
2020-08-23,19063,Emmet,1699,212,161,7
2020-08-23,19083,Hardin,2874,212,144,1
2020-08-23,19165,Shelby,1810,205,190,1
2020-08-23,19087,Henry,3112,202,104,4
2020-08-23,19067,Floyd,3044,183,151,3
2020-08-23,19011,Benton,3834,182,129,1
2020-08-23,19097,Jackson,2965,181,125,1
2020-08-23,19157,Poweshiek,2422,176,133,8
2020-08-23,19005,Allamakee,2268,167,141,4
2020-08-23,19191,Winneshiek,2833,165,87,1
2020-08-23,19019,Buchanan,3311,164,90,1
2020-08-23,19055,Delaware,2771,162,126,2
2020-08-23,19141,O'Brien,2162,162,121,7
2020-08-23,19023,Butler,2512,159,134,2
2020-08-23,19123,Mahaska,2371,158,120,18
2020-08-23,19077,Guthrie,2021,157,121,5
2020-08-23,19043,Clayton,2549,152,104,3
2020-08-23,19105,Jones,2866,151,108,2
2020-08-23,19121,Madison,2648,147,91,2
2020-08-23,19031,Cedar,2737,144,109,1
2020-08-23,19189,Winnebago,2135,142,70,2
2020-08-23,19119,Lyon,1231,136,118,2
2020-08-23,19085,Harrison,1843,135,101,1
2020-08-23,19081,Hancock,2019,133,118,2
2020-08-23,19035,Cherokee,1907,126,107,1
2020-08-23,19065,Fayette,3040,122,71,0
2020-08-23,19151,Pocahontas,1353,121,109,2
2020-08-23,19129,Mills,2978,116,70,1
2020-08-23,19109,Kossuth,2386,110,75,0
2020-08-23,19075,Grundy,2088,110,65,1
2020-08-23,19145,Page,2158,107,101,0
2020-08-23,19095,Iowa,2934,106,75,1
2020-08-23,19173,Taylor,981,106,99,0
2020-08-23,19029,Cass,1932,105,90,2
2020-08-23,19147,Palo Alto,1641,105,66,0
2020-08-23,19101,Jefferson,2200,103,71,0
2020-08-23,19133,Monona,1284,103,88,1
2020-08-23,19025,Calhoun,1847,101,75,2
2020-08-23,19161,Sac,1866,100,77,0
2020-08-23,19091,Humboldt,1725,98,80,2
2020-08-23,19131,Mitchell,2088,92,75,0
2020-08-23,19135,Monroe,951,91,58,8
2020-08-23,19143,Osceola,707,91,76,0
2020-08-23,19175,Union,2399,90,60,3
2020-08-23,19037,Chickasaw,1829,86,66,0
2020-08-23,19089,Howard,1437,83,47,0
2020-08-23,19117,Lucas,1052,79,36,4
2020-08-23,19051,Davis,946,77,48,2
2020-08-23,19195,Worth,1245,75,52,0
2020-08-23,19137,Montgomery,1495,69,56,4
2020-08-23,19007,Appanoose,1777,65,54,3
2020-08-23,19071,Fremont,813,54,25,0
2020-08-23,19177,Van Buren,855,46,24,1
2020-08-23,19073,Greene,1401,46,38,0
2020-08-23,19107,Keokuk,1213,46,26,1
2020-08-23,19001,Adair,1185,44,20,1
2020-08-23,19093,Ida,1052,36,29,0
2020-08-23,19185,Wayne,660,34,21,2
2020-08-23,19009,Audubon,795,34,24,1
2020-08-23,19053,Decatur,1079,32,24,0
2020-08-23,19159,Ringgold,812,29,23,1
2020-08-23,19003,Adams,457,20,17,0
2020-08-23,NA,Pending Investigation,7141,1,0,0
